rank;name;agency;real name;group;age;height;weight;blood type;origin;country;position;industry;gender;curr date;birth date
22;Roeun;Zenith Media;Lee Minji;Wanna.B;29;160;45;;Anyang;South Korea;Main Vocalist;K-pop;Female;23.04.2020;21.01.1991
23;Bang Hyunah;Zenith Media;Bang Hyunah;Wanna.B;29;161;44;;Incheon;South Korea;Main Rapper, Vocalist, Center,;K-pop;Female;23.04.2020;27.02.1991
24;Ami;Zenith Media;Woo Ami;Wanna.B;25;170;49;;Ulsan;South Korea;Main Dancer, Vocalist, Visual;K-pop;Female;23.04.2020;05.06.1994
25;Eunsom;Zenith Media;Lee Eunjoo;Wanna.B;25;165;47;;Jeonju;South Korea;Lead Vocalist, Lead Dancer, Maknae;K-pop;Female;23.04.2020;23.09.1994
26;Cheng Xiao;Yuehua Entertainment;Cheng Xiao;Cosmic Girls;21;167;;B;;China;Main Dancer, Vocalist, Visual, Face Of the Group;K-pop;Female;23.04.2020;15.07.1998
27;Luda;Yuehua Entertainment;Lee Lu Da;Cosmic Girls;23;157;;A;Seoul;South Korea;Lead Rapper, Vocalist;K-pop;Female;23.04.2020;06.02.1997
28;Onda;Yuehua Entertainment;Jo Serim;EVERGLOW;19;166;;B;;South Korea;Lead Vocalist, Lead Dancer, Visual;K-pop;Female;23.04.2020;18.05.2000
29;Yibo;Yuehua Entertainment;Wang Yi Bo;UNIQ;22;182;59;A;;South Korea;Main Dancer, Rapper, Vocalist, Visual, Maknae;K-pop;Male;23.04.2020;05.08.1997
30;Seungyoun;Yuehua Entertainment;Cho Seungyeon;UNIQ;23;180;65;O;;South Korea;Main Rapper, Vocalist;K-pop;Male;23.04.2020;05.08.1996
31;Wenhan;Yuehua Entertainment;Li Wen Han;UNIQ;25;180;64;A;;South Korea;Vocalist;K-pop;Male;23.04.2020;22.07.1994
32;Sungjoo;Yuehua Entertainment;Kim Sungjoo;UNIQ;26;180;68;A;;South Korea;Leader;K-pop;Male;23.04.2020;16.02.1994
33;Yixuan;Yuehua Entertainment;Zhou Yi Xuan;UNIQ;29;183;65;O;;China;Leader;K-pop;Male;23.04.2020;11.12.1990
34;Yiren  ;Yuehua Entertainment;Wang Yiren;EVERGLOW;19;163;42;AB;Hangzhou;China;Lead Dancer, Vocalist, Rapper, Visual, Center, Maknae;K-pop;Female;23.04.2020;29.12.2000
35;Aisha;Yuehua Entertainment;Heo Yoorim;EVERGLOW;19;174;;B;;South Korea;Lead Rapper, Vocalist;K-pop;Female;23.04.2020;21.07.2000
36;Mia;Yuehua Entertainment;Han Eunji;EVERGLOW;20;163;;A;;South Korea;Main Vocalist, Main Dancer, Rapper;K-pop;Female;23.04.2020;13.01.2000
37;Dawon;Yuehua Entertainment;Nam Da Won;Cosmic Girls;22;167;;A;Seoul;South Korea;Main Vocalist;K-pop;Female;23.04.2020;27.05.1997
38;Sihyeon;Yuehua Entertainment;Kim Sihyeon;EVERGLOW;20;168;51;B;;South Korea;Lead Vocalist, Visual, Face Of The Group;K-pop;Female;23.04.2020;05.08.1999
39;E:U;Yuehua Entertainment;Park Jiwon;EVERGLOW;21;160;;O;;South Korea;Leader, Main Rapper, Main Dancer, Vocalist;K-pop;Female;23.04.2020;19.05.1998
40;Yu Yeonjung;Yuehua Entertainment;Yu Yeonjung;Cosmic Girls;20;165;52;A;Gwangmyung;South Korea;Main Vocalist, Maknae;K-pop;Female;23.04.2020;03.08.1999
41;Lim Da Young;Yuehua Entertainment;Lim Da Young;Cosmic Girls;20;161;;A;Jeju;South Korea;Lead Vocalist;K-pop;Female;23.04.2020;14.05.1999
42;Lee Jin Suk;Yuehua Entertainment;Lee Jin Suk;Cosmic Girls;21;161;;A;Seoul;South Korea;Lead Rapper, Vocalist;K-pop;Female;23.04.2020;10.01.1999
43;Meng Mei Qi;Yuehua Entertainment;Meng Mei Qi;Cosmic Girls;21;164;;B;Luoyang;China;Main Dancer, Vocalist;K-pop;Female;23.04.2020;15.10.1998
44;Kim Ji Yeon;Yuehua Entertainment;Kim Ji Yeon;Cosmic Girls;24;163;;A;Daegu;South Korea;Lead Dancer, Lead Rapper, Vocalist, Visual;K-pop;Female;23.04.2020;19.08.1995
45;Soobin;Yuehua Entertainment;Park Soo Bin;Cosmic Girls;23;159;;AB;Seoul;South Korea;Main Vocalist;K-pop;Female;23.04.2020;14.07.1996
46;Eunseo;Yuehua Entertainment;Son Ju Yeon;Cosmic Girls;21;168;;B;Incheon;South Korea;Lead Rapper, Vocalist;K-pop;Female;23.04.2020;27.05.1998
47;Xuan Yi;Yuehua Entertainment;Wu Xuan Yi;Cosmic Girls;25;166;44;O;;South Korea;Lead Dancer, Vocalist;K-pop;Female;23.04.2020;26.01.1995
48;EXY;Yuehua Entertainment;Chu So Jung;Cosmic Girls;24;166;;A;Busan;South Korea;Leader, Main Rapper, Vocalist;K-pop;Female;23.04.2020;06.11.1995
49;Seola;Yuehua Entertainment;Kim Hyun Jung;Cosmic Girls;25;165;;A;Seoul;South Korea;Lead Vocalist;K-pop;Female;23.04.2020;24.12.1994
50;Doyeon;YMC Entertainment;Kim Do Yeon;I.O.I;20;173;50;O;;South Korea;Vocalist, Visual;K-pop;Female;23.04.2020;04.12.1999
51;Lim Na Young;YMC Entertainment;Lim Na Young;I.O.I;24;171;50;O;;South Korea;Leader, Main Rapper, Lead Dancer, Vocalist;K-pop;Female;23.04.2020;18.12.1995
52;Chungha;YMC Entertainment;Kim Chan-mi;I.O.I;24;161;44;A;;South Korea;Main Dancer, Lead Vocalist, Rapper;K-pop;Female;23.04.2020;09.02.1996
53;Kim Se Jeong;YMC Entertainment;Kim Se Jeong;I.O.I;23;164;48;AB;Jeonju;South Korea;Main Vocalist;K-pop;Female;23.04.2020;28.08.1996
54;Chaeyeon;YMC Entertainment;Jung Chae Yeon;I.O.I;;166;49;A;;South Korea;Vocalist, Visual;K-pop;Female;23.04.2020;
55;Kyulkyung;YMC Entertainment;Zhou Jie Qiong;I.O.I;21;166;47;O;;South Korea;Lead Dancer, Vocalist, Visual;K-pop;Female;23.04.2020;16.12.1998
56;Sohye;YMC Entertainment;Kim So Hye;I.O.I;20;163;48;A;;South Korea;Vocalist, Rapper;K-pop;Female;23.04.2020;19.07.1999
57;Yeonjung;YMC Entertainment;Yu Yeon Jung;I.O.I;20;167;52;A;;South Korea;Main Vocalist;K-pop;Female;23.04.2020;03.08.1999
58;Yoojung;YMC Entertainment;Choi Yoo Jung;I.O.I;20;157;44;O;;South Korea;Lead Rapper, Lead Dancer, Lead Vocalist;K-pop;Female;23.04.2020;12.11.1999
59;Mina;YMC Entertainment;Kang Mi Na;I.O.I;20;162;48;O;;South Korea;Lead Dancer, Vocalist, Rapper;K-pop;Female;23.04.2020;04.12.1999
60;Somi;YMC Entertainment;Ennik Somi Douma (Jeon So Mi);I.O.I;;169;48;O;;South Korea;Lead Dancer, Lead Vocalist, Rapper, Center, Maknae;K-pop;Female;23.04.2020;
61;B.I;YG Entertainment;Kim Han Bin;iKon;23;175;60;O;Seoul;South Korea;Leader, Main Dancer, Lead Rapper, Vocalist;K-pop;Male;23.04.2020;22.10.1996
62;Chan;YG Entertainment;Jung Chan Woo;iKon;22;181;;A;;South Korea;Vocalist, Maknae;K-pop;Male;23.04.2020;26.01.1998
63;Ju-ne;YG Entertainment;Koo Jun Hoe;iKon;23;183;;A;;South Korea;Main Vocalist, Lead Dancer;K-pop;Male;23.04.2020;31.03.1997
64;DK;YG Entertainment;Kim Dong Hyuk;iKon;23;173;62;O;;South Korea;Main Dancer, Vocalist;K-pop;Male;23.04.2020;03.01.1997
65;Bobby  ;YG Entertainment;Kim Ji Won;iKon;24;178;68;O;Seoul;South Korea;Main Rapper, Vocalist;K-pop;Male;23.04.2020;21.12.1995
66;Song;YG Entertainment;Song Yoon Hyung;iKon;25;177;58;A;Seoul;South Korea;Lead Vocalist, Visual, Center;K-pop;Male;23.04.2020;08.02.1995
67;Jay;YG Entertainment;Kim Jin Hwan;iKon;26;165;;A;Jeju Island;South Korea;Main Vocalist, Lead Dancer;K-pop;Male;23.04.2020;07.02.1994
68;DJ Tukutz;YG Entertainment;Kim Jung Sik;Epik High;38;176;65;;Seoul;South Korea;Producer, Turntablist, Engineer;K-pop;Male;23.04.2020;19.11.1981
69;Tablo;YG Entertainment;;Epik High;39;172;62;A;;South Korea;Leader, Main Rapper, Main Vocalist;K-pop;Male;23.04.2020;22.07.1980
70;Jihoon;YG Entertainment;Park Jihoon;Magnum;20;177;64;B;;South Korea;Leader, Vocalist, Dancer;K-pop;Male;23.04.2020;14.03.2000
71;Yoshinori;YG Entertainment;Kanemoto Yoshinori;Magnum;19;178;65;A;Kobe;Japan;Rapper, Dancer;K-pop;Male;23.04.2020;15.05.2000
72;Yoonbin;YG Entertainment;Ha Yoonbin;Magnum;19;176;62;A;;South Korea;Rapper;K-pop;Male;23.04.2020;11.12.2000
73;Mashiho;YG Entertainment;Takata Mashiho;Magnum;19;167;60;AB;;Japan;Vocalist, Visual;K-pop;Male;23.04.2020;25.03.2001
74;Asahi;YG Entertainment;Hanada Asahi;Magnum;18;172;58;AB;;Japan;Vocalist;K-pop;Male;23.04.2020;20.08.2001
75;Hyunsuk;YG Entertainment;Choi Hyunsuk;TREASURE;21;170.7;58;A;;South Korea;Leader, Main Rapper, Main Dancer, Vocalist;K-pop;Male;23.04.2020;21.04.1999
76;Doyoung;YG Entertainment;Kim Doyoung;Magnum;16;175;57;B;;South Korea;Vocalist, Dancer, Maknae;K-pop;Male;23.04.2020;04.12.2003
77;Jeongwoo;YG Entertainment;Park Jeong Woo;Treasure13;15;175;58;O;Iksan;South Korea;Vocalist;K-pop;Male;23.04.2020;28.09.2004
78;Hyunsuk;YG Entertainment;Choi Hyunsuk;Treasure13;21;170.7;57;A;Daegu;South Korea;Leader, Rapper, Dancer;K-pop;Male;23.04.2020;21.04.1999
79;Jihoon;YG Entertainment;Park Jihoon;Treasure13;20;177;65;B;Busan;South Korea;Dancer, Vocalist;K-pop;Male;23.04.2020;14.03.2000
80;Ros  ;YG Entertainment;Park Chae Young;Black Pink;23;168;46;B;Auckland;South Korea;Main Vocalist, Lead Dancer;K-pop;Female;23.04.2020;11.02.1997
81;Yoshinori;YG Entertainment;Kanemoto Yoshinori;Treasure13;19;178;65;A;Kobe;Japan;Rapper, Dancer;K-pop;Male;23.04.2020;15.05.2000
82;Junkyu  ;YG Entertainment;Kim Junkyu;Treasure13;19;178;68;O;;South Korea;Vocalist, Visual;K-pop;Male;23.04.2020;09.09.2000
83;Mashiho;YG Entertainment;Takata Mashiho;Treasure13;19;167;60;AB;;Japan;Dancer, Vocalist, Visual;K-pop;Male;23.04.2020;25.03.2001
84;Jaehyuk;YG Entertainment;Yoon Jaehyuk;Treasure13;18;178;;O;;South Korea;Rapper, Vocalist;K-pop;Male;23.04.2020;23.07.2001
85;Asahi;YG Entertainment;Hanada Asahi;Treasure13;18;172;;AB;;Japan;Vocalist;K-pop;Male;23.04.2020;20.08.2001
86;Yedam  ;YG Entertainment;Bang Yedam;Treasure13;17;171;;A;Seoul;South Korea;Vocalist;K-pop;Male;23.04.2020;07.05.2002
87;Doyoung;YG Entertainment;Kim Doyoung;Treasure13;16;175;58;B;Seoul;South Korea;Dancer, Vocalist;K-pop;Male;23.04.2020;04.12.2003
88;Haruto  ;YG Entertainment;Watanabe Haruto;Treasure13;16;178;;B;Fukuoka;Japan;Rapper, Visual;K-pop;Male;23.04.2020;05.04.2004
89;Junghwan  ;YG Entertainment;So Jung Hwan;Treasure13;15;174;59;B;Jeollabuk-do (North Jeolla Province);South Korea;Vocalist, Maknae;K-pop;Male;23.04.2020;18.02.2005
90;Junkyu;YG Entertainment;Kim Junkyu;TREASURE;19;178;62;O;;South Korea;Lead Vocalist, Visual;K-pop;Male;23.04.2020;09.09.2000
91;Yoonbin;YG Entertainment;Ha Yoonbin;Treasure13;19;176;65;A;;South Korea;Rapper;K-pop;Male;23.04.2020;11.12.2000
92;Yoon;YG Entertainment;Kang Seung Yoon;WINNER;26;180;58;B;Busan;South Korea;Leader, Main Vocalist, Maknae;K-pop;Male;23.04.2020;21.01.1994
93;Jinu;YG Entertainment;Kim Jin Woo;WINNER;28;177;58;A;Imjado;South Korea;Lead Vocalist, Visual;K-pop;Male;23.04.2020;26.09.1991
94;Hoony;YG Entertainment;Lee Seung Hoon;WINNER;28;185;65;A;Busan;South Korea;Main Dancer, Lead Rapper, Vocalist;K-pop;Male;23.04.2020;11.01.1992
95;Mino;YG Entertainment;Song Min Ho;WINNER;27;181;57;A;;South Korea;Main Rapper, Vocalist;K-pop;Male;23.04.2020;30.03.1993
96;Taehyun;YG Entertainment;Nam Tae Hyun;WINNER;25;179;;A;Hanam;South Korea;Main Vocalist, Maknae;K-pop;Male;23.04.2020;10.05.1994
97;Junghwan  ;YG Entertainment;So Jung Hwan;TREASURE;15;174;58;B;Jeollabuk-do (North Jeolla Province);South Korea;Lead Dancer, Vocalist, Maknae;K-pop;Male;23.04.2020;18.02.2005
98;Jeongwoo  ;YG Entertainment;Park Jeong Woo;TREASURE;15;175;63;O;Jeollabuk-do (North Jeolla Province);South Korea;Lead Vocalist;K-pop;Male;23.04.2020;28.09.2004
99;Haruto  ;YG Entertainment;Watanabe Haruto;TREASURE;16;178;56;B;;Japan;Lead Rapper, Visual;K-pop;Male;23.04.2020;05.04.2004
100;Yedam;YG Entertainment;Bang Ye Dam;TREASURE;17;171;58;A;Seoul;South Korea;Main Vocalist, Lead Dancer;K-pop;Male;23.04.2020;07.05.2002
101;Jaehyuk;YG Entertainment;Yoon Jae Hyuk;TREASURE;18;178;63;O;;South Korea;Lead Dancer, Rapper, Vocalist, Visual;K-pop;Male;23.04.2020;23.07.2001
102;Lisa  ;YG Entertainment;Lalisa Manoban;Black Pink;23;166.5;45;O;Bangkok;Thailand;Main Dancer, Lead Rapper, Sub-Vocalist, Maknae;K-pop;Female;23.04.2020;27.03.1997
103;Mithra Jin;YG Entertainment;Choi Jin;Epik High;37;179;78;;Goheung;South Korea;Lead Rapper, Producer, Lyricist, MC, Maknae;K-pop;Male;23.04.2020;06.01.1983
104;Jennie  ;YG Entertainment;Kim Jennie;Black Pink;24;163;50;B;Anyang;South Korea;Main Rapper, Vocalist;K-pop;Female;23.04.2020;16.01.1996
105;Seungri;YG Entertainment;Lee Seung Hyun;Big Bang;29;177;60;A;Gwangju;South Korea;Lead Dancer, Vocalist, Maknae;K-pop;Male;23.04.2020;12.12.1990
106;Daesung;YG Entertainment;Kang Daesung;Big Bang;31;178;63;O;Incheon;South Korea;Lead Vocalist, Maknae;K-pop;Male;23.04.2020;26.04.1989
107;Taeyang;YG Entertainment;Dong Yong Bae;Big Bang;31;174;56;B;Gyeonggi-do;South Korea;Main Vocalist, Main Dancer;K-pop;Male;23.04.2020;18.05.1988
108;T.O.P;YG Entertainment;Choi Seung-hyun;Big Bang;32;181;65;B;Seoul;South Korea;Lead Rapper, Vocalist, Visual;K-pop;Male;23.04.2020;04.11.1987
109;Kwon Ji Yong;YG Entertainment;Kwon Ji Yong;Big Bang;31;177;58;A;Seoul;South Korea;Leader, Main Rapper, Vocalist;K-pop;Male;23.04.2020;18.08.1988
110;Danny;YG Entertainment;Im Taebin;1TYM;39;180;65;O;California;USA;Lead Vocalist, Maknae;K-pop;Male;23.04.2020;06.05.1980
111;Baekkyung;YG Entertainment;Song Baekkyung;1TYM;41;165;48;B;Seoul;South Korea;Vocalist, Songwriter;K-pop;Male;23.04.2020;12.04.1979
112;Jinhwan;YG Entertainment;Oh Jinhwan;1TYM;41;174;58;B;Cheonan;South Korea;Rapper, Choreographer;K-pop;Male;23.04.2020;06.07.1978
113;Teddy Park;YG Entertainment;Park Hongjoon;1TYM;41;176;62;;Seoul;South Korea;Leader, Main Rapper;K-pop;Male;23.04.2020;14.09.1978
114;Jisoo  ;YG Entertainment;Kim Ji Soo;Black Pink;25;162;45;A;Seoul;South Korea;Lead Vocalist, Visual;K-pop;Female;23.04.2020;03.01.1995
115;Jinhyeon;YEOM Entertainment;Kim Jin-hyeon;flor_us;;;;;;South Korea;Leader, Vocalist;K-pop;Female;23.04.2020;
116;Suhwa;YEOM Entertainment;Lee Soohyeon;flor_us;;;;;;South Korea;Vocalist;K-pop;Female;23.04.2020;
117;Hyejeong;YEOM Entertainment;Jin Hyejeong;flor_us;;;;;;South Korea;Vocalist, Dancer, Maknae;K-pop;Female;23.04.2020;
118;Jisong;YEOM Entertainment;Jung Jisong;flor_us;;;;;;South Korea;Vocalist;K-pop;Female;23.04.2020;
119;Yoowoo;Yedam Entertainment;Yoo Jungin;LABEL UP;27;163;44;;;South Korea;Vocalist;K-pop;Female;23.04.2020;25.03.1993
120;Rian;Yedam Entertainment;;LABEL UP;;;;;;South Korea;Vocalist;K-pop;Female;23.04.2020;
121;Coca;Yedam Entertainment;Kim Hyokyung;LABEL UP;27;167;49;;;South Korea;Vocalist;K-pop;Female;23.04.2020;25.10.1992
122;Jena;Yedam Entertainment;;LABEL UP;;;;;;South Korea;Vocalist;K-pop;Female;23.04.2020;
123;Seyeon;Yedam Entertainment;;LABEL UP;;;;;;South Korea;Vocalist;K-pop;Female;23.04.2020;
124;Jihyun;Yechan Media;Hwang Jihyun;A-SEED;;166;;;;South Korea;Leader, Vocalist, Dancer;K-pop;Female;23.04.2020;
125;Mini;Yechan Media;;A-SEED;;163;;;;South Korea;Vocalist, Dancer;K-pop;Female;23.04.2020;
126;Soly;Yechan Media;;A-SEED;28;167;;;;South Korea;Lead Vocalist;K-pop;Female;23.04.2020;11.02.1992
127;Soyeon;Yechan Media;Lee Soyeon;A-SEED;26;168;;;;South Korea;Vocalist, Dancer, Maknae;K-pop;Female;23.04.2020;19.01.1994
128;Soobin;YC:Bros Entertainment;Na Soo Bin;Rose Finger;28;;;;;South Korea;Leader, Main Rapper, Lead Dancer;K-pop;Female;23.04.2020;12.12.1991
129;Hayan;YC:Bros Entertainment;;Rose Finger;;;;;;South Korea;Lead Vocal;K-pop;Female;23.04.2020;
130;Hyebin;YC:Bros Entertainment;Kim Hyebin;Rose Finger;23;;;;;South Korea;Main Vocal, Lead Rapper;K-pop;Female;23.04.2020;29.03.1997
131;Segye;YC:Bros Entertainment;Shin Se Gye;Rose Finger;21;171;;;;South Korea;Main Dancer, Lead Rapper, Maknae;K-pop;Female;23.04.2020;19.08.1998
132;Daun;YC:Bros Entertainment;Kim Da Un;Rose Finger;;;;;;South Korea;;K-pop;Female;23.04.2020;
133;Gijung;Yama & Hotchicks Entertainment;Kim Ki-joong;IM66;19;182;62;O;Seoul;South Korea;Vocalist, Maknae;K-pop;Male;23.04.2020;24.01.2001
134;Taeeun;Yama & Hotchicks Entertainment;Moon Taeeun;IM66;20;175;62;B;Jeollabuk-do;South Korea;Leader, Main Rapper, Lead Dancer;K-pop;Male;23.04.2020;09.02.2000
135;Giseok;Yama & Hotchicks Entertainment;Jung Giseok;IM66;22;180;67;O;Gyeonggi-do;South Korea;Main Vocalist;K-pop;Male;23.04.2020;02.05.1997
136;Hangyul;Yama & Hotchicks Entertainment;Lee Hangyeol;IM66;20;177;65;O;Incheon;South Korea;Main Dancer, Vocalist, Visual;K-pop;Male;23.04.2020;07.12.1999
137;Minjae;Wynn Entertainment;Jo Minjae;SPECTRUM;25;180;62;O;;South Korea;Leader, Lead Vocalist, Main Dancer;K-pop;Male;23.04.2020;08.08.1994
138;Dongkyu;Wynn Entertainment;Moon Seunghyuk;SPECTRUM;27;173;59;B;;South Korea;Lead Vocalist;K-pop;Male;23.04.2020;16.11.1992
139;Jaehan;Wynn Entertainment;Kim Jaehan;SPECTRUM;24;179;65;A;;South Korea;Main Vocalist;K-pop;Male;23.04.2020;01.07.1995
140;Villain;Wynn Entertainment;Lee Seunghyun;SPECTRUM;21;179;66;B;;South Korea;Main Rapper, Lead Dancer;K-pop;Male;23.04.2020;17.07.1998
141;Eunjun;Wynn Entertainment;Choi Eunjun;SPECTRUM;20;175;61;AB;;South Korea;Sub Vocalist, Maknae;K-pop;Male;23.04.2020;06.08.1999
142;Dongyoon;Wynn Entertainment;Kim Dongyoon;SPECTRUM;21;179.8;58;B;;South Korea;Main Rapper, Visual;K-pop;Male;23.04.2020;03.06.1998
143;Hwarang;Wynn Entertainment;Park Jongchan;SPECTRUM;24;179;64;B;;South Korea;Rapper, Sub Vocalist;K-pop;Male;23.04.2020;05.12.1995
144;Juri;Woollim Entertainment;Takahashi Juri;Rocket Punch;22;160;44;A;;South Korea;Vocalist;K-pop;Female;23.04.2020;03.10.1997
145;Yeonhee;Woollim Entertainment;Kim Yeon Hee;Rocket Punch;19;161;44;B;;South Korea;Leader, Vocalist, Dancer, Rapper, Visual;K-pop;Female;23.04.2020;06.12.2000
146;Baby Soul;Woollim Entertainment;Lee Soo Jung;Lovelyz;27;158;;O;;South Korea;Leader, Main Vocalist, Rapper;K-pop;Female;23.04.2020;06.07.1992
147;Jiae;Woollim Entertainment;Yoo Ji Ae;Lovelyz;26;163;;A;;South Korea;Vocalist, Rapper, Visual;K-pop;Female;23.04.2020;21.05.1993
148;Jisoo;Woollim Entertainment;Seo Ji Soo;Lovelyz;26;165;46;O;;South Korea;Main Dancer, Vocalist, Rapper;K-pop;Female;23.04.2020;11.02.1994
149;Mijoo;Woollim Entertainment;Lee Mi Joo;Lovelyz;25;167;;O;;South Korea;Main Dancer, Vocalist;K-pop;Female;23.04.2020;23.09.1994
150;Kei;Woollim Entertainment;Kim Ji Yeon;Lovelyz;25;162;;O;;South Korea;Main Vocalist, Lead Dancer;K-pop;Female;23.04.2020;20.03.1995
151;Jin;Woollim Entertainment;Park Myung Eun;Lovelyz;23;165;;B;;South Korea;Main Vocalist;K-pop;Female;23.04.2020;12.06.1996
152;Sujeong;Woollim Entertainment;Ryu Soo Jung;Lovelyz;22;168;;B;Daejeon;South Korea;Lead Vocalist;K-pop;Female;23.04.2020;19.11.1997
153;Yein;Woollim Entertainment;Jung Ye In;Lovelyz;21;166;;B;;South Korea;Lead Dancer, Vocalist, Maknae;K-pop;Female;23.04.2020;04.06.1998
154;Suyun  ;Woollim Entertainment;Kim Su Yun;Rocket Punch;19;169;52;A;;South Korea;Vocalist, Dancer;K-pop;Female;23.04.2020;17.03.2001
155;L/Myungsoo;Woollim Entertainment;Kim Myung Soo;Infinite;28;180;;O;Seoul;South Korea;Vocalist, Visual;K-pop;Male;23.04.2020;13.03.1992
156;Yunkyoung;Woollim Entertainment;Seo Yun Kyoung;Rocket Punch;18;161;46;O;;South Korea;Vocalist, Rapper, Dancer;K-pop;Female;23.04.2020;01.11.2001
157;Sohee  ;Woollim Entertainment;Kim So Hee;Rocket Punch;16;161;46;A;Gimpo;South Korea;Rapper, Dancer, Vocalist;K-pop;Female;23.04.2020;14.08.2003
158;Dahyun  ;Woollim Entertainment;Jeong Da Hyun;Rocket Punch;14;160;44;A;;South Korea;Vocalist, Visual, Maknae;K-pop;Female;23.04.2020;29.04.2005
159;Hyeop;Woollim Entertainment;Lee Hyeop;W Project 4;20;177;57;B;;South Korea;Vocalist;K-pop;Male;23.04.2020;13.08.1999
160;Yunseong;Woollim Entertainment;Hwang Yun Seong;W Project 4;19;179;60;AB;;South Korea;Vocalist, Dancer;K-pop;Male;23.04.2020;30.10.2000
161;Changuk;Woollim Entertainment;Joo Chang Uk;W Project 4;18;180;59;A;;South Korea;;K-pop;Male;23.04.2020;25.07.2001
162;Dongyun;Woollim Entertainment;Kim Dong Yun;W Project 4;18;176;61;B;;South Korea;;K-pop;Male;23.04.2020;18.02.2002
163;Minseo;Woollim Entertainment;Kim Min Seo;W Project 4;17;177;53;B;;South Korea;;K-pop;Male;23.04.2020;09.05.2002
164;Sungjun;Woollim Entertainment;Lee Sung Jun;W Project 4;17;;;A;;South Korea;Maknae;K-pop;Male;23.04.2020;15.06.2002
165;Lee Sung Jong;Woollim Entertainment;Lee Sung Jong;Infinite;26;179;;A;;South Korea;Vocalist, Maknae;K-pop;Male;23.04.2020;03.09.1993
